"","Category_code","COG","Annotation","Category"
"11","A","COG5188","Splicing factor 3a, subunit 3 ","RNA processing and modification"
"12","A","COG5178","U5 snRNP spliceosome subunit ","RNA processing and modification"
"13","A","COG5246","Splicing factor 3a, subunit 2 ","RNA processing and modification"
"14","A","COG5161","Pre-mRNA cleavage and polyadenylation specificity factor ","RNA processing and modification"
"15","A","COG5239","mRNA deadenylase, 3-5 endonuclease subunit Ccr4","RNA processing and modification"
"16","A","COG5176","Splicing factor (branch point binding protein) ","RNA processing and modification"
"17","A","COG1949","Oligoribonuclease (3-5 exoribonuclease)","RNA processing and modification"
"18","A","COG5200","U1 snRNP component, mediates U1 snRNP association with cap-binding complex ","RNA processing and modification"
"19","B","COG5114","Histone acetyltransferase complex SAGA/ADA, subunit ADA2 ","Chromatin structure and dynamics"
"20","B","COG5648","Chromatin-associated proteins containing the HMG domain ","Chromatin structure and dynamics"
"21","B","COG5229","Chromosome condensation complex Condensin, subunit H ","Chromatin structure and dynamics"
"22","B","COG5602","Histone deacetylase complex, regulatory component SIN3","Chromatin structure and dynamics"
"23","B","COG5218","Chromosome condensation complex Condensin, subunit G ","Chromatin structure and dynamics"
"24","B","COG5262","Histone H2A ","Chromatin structure and dynamics"
"25","B","COG5259","RSC chromatin remodeling complex subunit RSC8 ","Chromatin structure and dynamics"
"26","B","COG2036","Archaeal histone H3/H4","Chromatin structure and dynamics"
"27","B","COG5531","Chromatin remodeling complex protein RSC6, contains SWIB domain","Chromatin structure and dynamics"
"28","C","COG4658","Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit","Energy production and conversion"
"29","C","COG4659","Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit","Energy production and conversion"
"30","C","COG1592","Rubrerythrin","Energy production and conversion"
"31","C","COG1143","Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)","Energy production and conversion"
"32","C","COG4221","NADP-dependent 3-hydroxy acid dehydrogenase YdfG","Energy production and conversion"
"33","C","COG4037","Energy-converting hydrogenase Eha subunit F","Energy production and conversion"
"34","C","COG4736","Cbb3-type cytochrome oxidase, subunit 3","Energy production and conversion"
"35","C","COG3262","Ni,Fe-hydrogenase III component G","Energy production and conversion"
"36","C","COG0074","Succinyl-CoA synthetase, alpha subunit","Energy production and conversion"
"37","C","COG4657","Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit","Energy production and conversion"
"38","C","COG1142","Fe-S-cluster-containing hydrogenase component 2","Energy production and conversion"
"39","C","COG3427","Carbon monoxide dehydrogenase subunit G","Energy production and conversion"
"40","C","COG1274","Phosphoenolpyruvate carboxykinase, GTP-dependent","Energy production and conversion"
"41","C","COG1290","Cytochrome b subunit of the bc complex","Energy production and conversion"
"42","C","COG4038","Energy-converting hydrogenase Eha subunit E","Energy production and conversion"
"43","C","COG3312","FoF1-type ATP synthase assembly protein I","Energy production and conversion"
"44","C","COG3261","Ni,Fe-hydrogenase III large subunit","Energy production and conversion"
"45","C","COG1845","Heme/copper-type cytochrome/quinol oxidase, subunit 3","Energy production and conversion"
"46","C","COG4036","Energy-converting hydrogenase Eha subunit G","Energy production and conversion"
"47","C","COG4078","Energy-converting hydrogenase Eha subunit H","Energy production and conversion"
"48","C","COG1853","NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family","Energy production and conversion"
"49","C","COG1269","Archaeal/vacuolar-type H+-ATPase subunit I/STV1","Energy production and conversion"
"50","C","COG0372","Citrate synthase","Energy production and conversion"
"51","C","COG3202","ATP/ADP translocase","Energy production and conversion"
"52","C","COG2191","Formylmethanofuran dehydrogenase subunit E","Energy production and conversion"
"53","C","COG0374","Ni,Fe-hydrogenase I large subunit","Energy production and conversion"
"54","C","COG1251","NAD(P)H-nitrite reductase, large subunit","Energy production and conversion"
"55","C","COG0055","FoF1-type ATP synthase, beta subunit","Energy production and conversion"
"56","C","COG3288","NAD/NADP transhydrogenase alpha subunit","Energy production and conversion"
"57","C","COG5127","Vacuolar H+-ATPase V1 sector, subunit C ","Energy production and conversion"
"58","C","COG2878","Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit","Energy production and conversion"
"59","C","COG3080","Fumarate reductase subunit D","Energy production and conversion"
"60","C","COG4039","Energy-converting hydrogenase Eha subunit C","Energy production and conversion"
"61","C","COG1153","Formylmethanofuran dehydrogenase subunit D","Energy production and conversion"
"62","C","COG1254","Acylphosphatase","Energy production and conversion"
"63","C","COG1773","Rubredoxin","Energy production and conversion"
"64","C","COG3245","Cytochrome c5","Energy production and conversion"
"65","C","COG4106","Trans-aconitate methyltransferase","Energy production and conversion"
"66","C","COG3302","DMSO reductase anchor subunit","Energy production and conversion"
"67","C","COG1145","Ferredoxin","Energy production and conversion"
"68","C","COG3259","Coenzyme F420-reducing hydrogenase, alpha subunit","Energy production and conversion"
"69","C","COG1139","L-lactate utilization protein LutB, contains a ferredoxin-type domain","Energy production and conversion"
"70","C","COG4074","5,10-methenyltetrahydromethanopterin hydrogenase","Energy production and conversion"
"71","C","COG4231","TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit","Energy production and conversion"
"72","C","COG1584","Succinate-acetate transporter protein","Energy production and conversion"
"73","C","COG1927","F420-dependent methylenetetrahydromethanopterin dehydrogenase","Energy production and conversion"
"74","C","COG2851","Mg2+/citrate symporter","Energy production and conversion"
"75","C","COG1908","Coenzyme F420-reducing hydrogenase, delta subunit","Energy production and conversion"
"76","C","COG1319","CO or xanthine dehydrogenase, FAD-binding subunit","Energy production and conversion"
"77","C","COG0243","Anaerobic selenocysteine-containing dehydrogenase","Energy production and conversion"
"78","C","COG0716","Flavodoxin","Energy production and conversion"
"79","C","COG0045","Succinyl-CoA synthetase, beta subunit","Energy production and conversion"
"80","C","COG1141","Ferredoxin","Energy production and conversion"
"81","C","COG1294","Cytochrome bd-type quinol oxidase, subunit 2","Energy production and conversion"
"82","C","COG4654","Cytochrome c551/c552","Energy production and conversion"
"83","C","COG2010","Cytochrome c, mono- and diheme variants","Energy production and conversion"
"84","C","COG1282","NAD/NADP transhydrogenase beta subunit","Energy production and conversion"
"85","C","COG1155","Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1","Energy production and conversion"
"86","C","COG2055","Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family","Energy production and conversion"
"87","C","COG0056","FoF1-type ATP synthase, alpha subunit","Energy production and conversion"
"88","C","COG1622","Heme/copper-type cytochrome/quinol oxidase, subunit 2","Energy production and conversion"
"89","C","COG3630","Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, gamma subunit","Energy production and conversion"
"90","C","COG1526","Formate dehydrogenase assembly factor FdhD","Energy production and conversion"
"91","C","COG1625","Fe-S oxidoreductase, related to NifB/MoaA family","Energy production and conversion"
"92","C","COG0355","FoF1-type ATP synthase, epsilon subunit","Energy production and conversion"
"93","C","COG0843","Heme/copper-type cytochrome/quinol oxidase, subunit 1","Energy production and conversion"
"94","C","COG4656","Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit","Energy production and conversion"
"95","C","COG0224","FoF1-type ATP synthase, gamma subunit","Energy production and conversion"
"96","C","COG0778","Nitroreductase","Energy production and conversion"
"97","C","COG2009","Succinate dehydrogenase/fumarate reductase, cytochrome b subunit","Energy production and conversion"
"98","C","COG3658","Cytochrome b","Energy production and conversion"
"99","C","COG4147","Na+(or H+)/acetate symporter ActP","Energy production and conversion"
"100","C","COG0852","NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)","Energy production and conversion"
"101","C","COG0039","Malate/lactate dehydrogenase","Energy production and conversion"
"102","C","COG0356","FoF1-type ATP synthase, membrane subunit a","Energy production and conversion"
"103","C","COG0839","NADH:ubiquinone oxidoreductase subunit 6 (chain J)","Energy production and conversion"
"104","C","COG1271","Cytochrome bd-type quinol oxidase, subunit 1","Energy production and conversion"
"105","C","COG0247","Fe-S oxidoreductase","Energy production and conversion"
"106","C","COG3258","Cytochrome c","Energy production and conversion"
"107","C","COG0377","NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase","Energy production and conversion"
"108","C","COG0723","Rieske Fe-S protein","Energy production and conversion"
"109","C","COG3181","Tripartite-type tricarboxylate transporter, receptor component TctC","Energy production and conversion"
"110","C","COG1249","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme","Energy production and conversion"
"111","C","COG1150","Heterodisulfide reductase, subunit C","Energy production and conversion"
"112","C","COG2037","Formylmethanofuran:tetrahydromethanopterin formyltransferase","Energy production and conversion"
"113","C","COG1152","CO dehydrogenase/acetyl-CoA synthase alpha subunit","Energy production and conversion"
"114","C","COG2993","Cbb3-type cytochrome oxidase, cytochrome c subunit","Energy production and conversion"
"115","C","COG1838","Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain","Energy production and conversion"
"116","C","COG0240","Glycerol-3-phosphate dehydrogenase","Energy production and conversion"
"117","C","COG1902","2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family","Energy production and conversion"
"118","C","COG3038","Cytochrome b561","Energy production and conversion"
"119","C","COG3411","(2Fe-2S) ferredoxin","Energy production and conversion"
"120","C","COG3426","Butyrate kinase","Energy production and conversion"
"121","C","COG1969","Ni,Fe-hydrogenase I cytochrome b subunit","Energy production and conversion"
"122","C","COG2225","Malate synthase","Energy production and conversion"
"123","C","COG1252","NADH dehydrogenase, FAD-containing subunit","Energy production and conversion"
"124","C","COG3051","Citrate lyase, alpha subunit","Energy production and conversion"
"125","C","COG5605","Cytochrome c oxidase subunit IV","Energy production and conversion"
"126","C","COG3005","Tetraheme cytochrome c subunit of nitrate or TMAO reductase","Energy production and conversion"
"127","C","COG1620","L-lactate permease","Energy production and conversion"
"128","C","COG1156","Archaeal/vacuolar-type H+-ATPase subunit B/Vma2","Energy production and conversion"
"129","C","COG2218","Formylmethanofuran dehydrogenase subunit C","Energy production and conversion"
"130","C","COG4660","Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfE subunit","Energy production and conversion"
"131","C","COG1229","Formylmethanofuran dehydrogenase subunit A","Energy production and conversion"
"132","C","COG5012","Methanogenic corrinoid protein MtbC1","Energy production and conversion"
"133","C","COG3053","Citrate lyase synthetase","Energy production and conversion"
"134","C","COG0022","Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component","Energy production and conversion"
"135","C","COG2033","Desulfoferrodoxin, superoxide reductase-like (SORL) domain","Energy production and conversion"
"136","C","COG3278","Cbb3-type cytochrome oxidase, subunit 1","Energy production and conversion"
"137","C","COG1144","Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit","Energy production and conversion"
"138","C","COG2048","Heterodisulfide reductase, subunit B","Energy production and conversion"
"139","C","COG2080","Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family","Energy production and conversion"
"140","C","COG1148","Heterodisulfide reductase, subunit A (polyferredoxin)","Energy production and conversion"
"141","C","COG2864","Cytochrome b subunit of formate dehydrogenase","Energy production and conversion"
"142","C","COG3241","Azurin","Energy production and conversion"
"143","C","COG1905","NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)","Energy production and conversion"
"144","C","COG0713","NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)","Energy production and conversion"
"145","C","COG5231","Vacuolar H+-ATPase V1 sector, subunit H ","Energy production and conversion"
"146","C","COG2025","Electron transfer flavoprotein, alpha subunit","Energy production and conversion"
"147","C","COG0371","Glycerol dehydrogenase or related enzyme, iron-containing ADH family","Energy production and conversion"
"148","C","COG2210","Peroxiredoxin family protein","Energy production and conversion"
"149","C","COG1805","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB","Energy production and conversion"
"150","C","COG2209","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE","Energy production and conversion"
"151","C","COG4802","Ferredoxin-thioredoxin reductase, catalytic subunit","Energy production and conversion"
"152","C","COG2828","2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)","Energy production and conversion"
"153","C","COG1614","CO dehydrogenase/acetyl-CoA synthase beta subunit","Energy production and conversion"
"154","C","COG2069","CO dehydrogenase/acetyl-CoA synthase delta subunit (corrinoid Fe-S protein)","Energy production and conversion"
"155","C","COG2863","Cytochrome c553","Energy production and conversion"
"156","C","COG0712","FoF1-type ATP synthase, delta subunit","Energy production and conversion"
"157","C","COG4237","Hydrogenase-4 membrane subunit HyfE","Energy production and conversion"
"158","C","COG2142","Succinate dehydrogenase, hydrophobic anchor subunit","Energy production and conversion"
"159","C","COG0838","NADH:ubiquinone oxidoreductase subunit 3 (chain A)","Energy production and conversion"
"160","C","COG2224","Isocitrate lyase","Energy production and conversion"
"161","C","COG2086","Electron transfer flavoprotein, alpha and beta subunits","Energy production and conversion"
"162","C","COG3125","Heme/copper-type cytochrome/quinol oxidase, subunit 4","Energy production and conversion"
"163","C","COG0348","Polyferredoxin","Energy production and conversion"
"164","C","COG4041","Energy-converting hydrogenase Eha subunit B","Energy production and conversion"
"165","C","COG0427","Acyl-CoA hydrolase","Energy production and conversion"
"166","C","COG1529","CO or xanthine dehydrogenase, Mo-binding subunit","Energy production and conversion"
"167","C","COG2871","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF","Energy production and conversion"
"168","C","COG2811","Archaeal/vacuolar-type H+-ATPase subunit H","Energy production and conversion"
"169","C","COG5336","FoF1-type ATP synthase assembly protein I","Energy production and conversion"
"170","C","COG2857","Cytochrome c1","Energy production and conversion"
"171","C","COG1951","Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain","Energy production and conversion"
"172","C","COG1941","Coenzyme F420-reducing hydrogenase, gamma subunit","Energy production and conversion"
"173","C","COG1979","Alcohol dehydrogenase YqhD, Fe-dependent ADH family","Energy production and conversion"
"174","C","COG3029","Fumarate reductase subunit C","Energy production and conversion"
"175","C","COG4042","Energy-converting hydrogenase Eha subunit A","Energy production and conversion"
"176","C","COG3260","Ni,Fe-hydrogenase III small subunit","Energy production and conversion"
"177","C","COG5557","Ni/Fe-hydrogenase 2 integral membrane subunit HybB","Energy production and conversion"
"178","C","COG2838","Monomeric isocitrate dehydrogenase","Energy production and conversion"
"179","C","COG3052","Citrate lyase, gamma subunit","Energy production and conversion"
"180","C","COG4459","Periplasmic nitrate reductase system, NapE component","Energy production and conversion"
"181","C","COG1556","L-lactate utilization protein LutC, contains LUD domain","Energy production and conversion"
"182","C","COG1527","Archaeal/vacuolar-type H+-ATPase subunit C/Vma6","Energy production and conversion"
"183","C","COG2041","Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit","Energy production and conversion"
"184","C","COG3069","C4-dicarboxylate transporter","Energy production and conversion"
"185","C","COG1301","Na+/H+-dicarboxylate symporter","Energy production and conversion"
"186","C","COG1795","Formaldehyde-activating enzyme nesessary for methanogenesis","Energy production and conversion"
"187","C","COG4624","Iron only hydrogenase large subunit, C-terminal domain","Energy production and conversion"
"188","C","COG2869","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC","Energy production and conversion"
"189","C","COG0426","Flavorubredoxin","Energy production and conversion"
"190","C","COG1182","FMN-dependent NADH-azoreductase","Energy production and conversion"
"191","D","COG5404","Cell division inhibitor SulA, prevents FtsZ ring assembly","Cell cycle control, cell division, chromosome partitioning"
"192","D","COG0851","Septum formation topological specificity factor MinE","Cell cycle control, cell division, chromosome partitioning"
"193","D","COG3660","Mitochondrial fission protein ELM1","Cell cycle control, cell division, chromosome partitioning"
"194","D","COG2919","Cell division protein FtsB","Cell cycle control, cell division, chromosome partitioning"
"195","D","COG4477","Septation ring formation regulator EzrA","Cell cycle control, cell division, chromosome partitioning"
"196","D","COG5156","Anaphase-promoting complex (APC), subunit 10 ","Cell cycle control, cell division, chromosome partitioning"
"197","D","COG5401","Spore germination protein GerM","Cell cycle control, cell division, chromosome partitioning"
"198","D","COG5155","Separase, a protease involved in sister chromatid separation ","Cell cycle control, cell division, chromosome partitioning"
"199","D","COG5244","Dynactin complex subunit involved in mitotic spindle partitioning in anaphase B","Cell cycle control, cell division, chromosome partitioning"
"200","D","COG4326","Sporulation-control protein spo0M","Cell cycle control, cell division, chromosome partitioning"
"201","D","COG3006","Chromosome condensin MukBEF complex, kleisin-like MukF subunit","Cell cycle control, cell division, chromosome partitioning"
"202","D","COG0849","Cell division ATPase FtsA","Cell cycle control, cell division, chromosome partitioning"
"203","D","COG5261","Protein involved in regulation of cellular morphogenesis/cytokinesis ","Cell cycle control, cell division, chromosome partitioning"
"204","D","COG2848","Uncharacterized conserved protein, UPF0210 family","Cell cycle control, cell division, chromosome partitioning"
"205","D","COG5185","Protein involved in chromosome segregation, interacts with SMC proteins","Cell cycle control, cell division, chromosome partitioning"
"206","D","COG4942","Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB","Cell cycle control, cell division, chromosome partitioning"
"207","D","COG2088","DNA-binding protein SpoVG, cell septation regulator","Cell cycle control, cell division, chromosome partitioning"
"208","D","COG2917","Intracellular septation protein A","Cell cycle control, cell division, chromosome partitioning"
"209","D","COG4582","Cell division protein ZapD, interacts with FtsZ","Cell cycle control, cell division, chromosome partitioning"
"210","D","COG3074","Cell division protein ZapB, interacts with FtsZ","Cell cycle control, cell division, chromosome partitioning"
"211","D","COG3116","Cell division protein FtsL, interacts with FtsB, FtsL and FtsQ","Cell cycle control, cell division, chromosome partitioning"
"212","D","COG5657","CAS/CSE protein involved in chromosome segregation ","Cell cycle control, cell division, chromosome partitioning"
"213","D","COG5220","Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, subunit TFB3 ","Cell cycle control, cell division, chromosome partitioning"
"214","D","COG1799","FtsZ-interacting cell division protein YlmF","Cell cycle control, cell division, chromosome partitioning"
"215","D","COG5333","Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit ","Cell cycle control, cell division, chromosome partitioning"
"216","D","COG1196","Chromosome segregation ATPase","Cell cycle control, cell division, chromosome partitioning"
"217","D","COG5491","Archaeal division protein CdvB, Snf7/Vps24/ESCRT-III family","Cell cycle control, cell division, chromosome partitioning"
"218","D","COG3096","Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB [Escherichia coli str. K-12 substr. MG1655","Cell cycle control, cell division, chromosome partitioning"
"219","D","COG0850","Septum formation inhibitor MinC","Cell cycle control, cell division, chromosome partitioning"
"220","D","COG3087","Cell division protein FtsN","Cell cycle control, cell division, chromosome partitioning"
"221","D","COG5217","Microtubule-binding protein involved in cell cycle control ","Cell cycle control, cell division, chromosome partitioning"
"222","D","COG1589","Cell division septal protein FtsQ","Cell cycle control, cell division, chromosome partitioning"
"223","D","COG4641","Spore maturation protein CgeB","Cell cycle control, cell division, chromosome partitioning"
"224","D","COG3599","Cell division septum initiation DivIVA, interacts with FtsZ, MinD and other proteins","Cell cycle control, cell division, chromosome partitioning"
"225","D","COG5279","Cytokinesis protein 3, contains TGc (transglutaminase/protease-like) domain","Cell cycle control, cell division, chromosome partitioning"
